name,class,fault_id,county,length_km,time,slip_rate
indian hill fault,A,331,los angeles,20,late Quaternary (<130 ka),Unspecified
indian valley fault,A,23,plumas,20,latest Quaternary (<15 ka),Unspecified
isla vista fault,A,516,santa barbara,5,late Quaternary (<130 ka),Unspecified
javon canyon fault,A,375,ventura,3,latest Quaternary (<15 ka),Unspecified
jess valley fault zone,A,164,modoc,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
"johnson valley fault zone, northern johnson valley section",A,115a,san bernardino,32,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"johnson valley fault zone, southern johnson valley section",A,115b,san bernardino,24,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
jolon fault,A,490,monterey,239,undifferentiated Quaternary (<1.6 Ma),Unspecified
joy woods fault,A,223,sonoma,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
keddie ridge fault,A,191,plumas,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
kern canyon fault zone,A,494,tulare,169,latest Quaternary (<15 ka),Unspecified
kern front fault,A,368,kern,13,late Quaternary (<130 ka),Unspecified
kern gorge fault,A,374,kern,NA,late Quaternary (<130 ka),Unspecified
king range thrust zone,A,152,humboldt,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
knights valley fault zone,A,517,sonoma,15,undifferentiated Quaternary (<1.6 Ma),Unspecified
konocti bay fault zone,A,169,lake,NA,latest Quaternary (<15 ka),Unspecified
kramer hills fault zone,A,321,san bernardino,28,latest Quaternary (<15 ka),Unspecified
lagoon valley fault,A,518,solano,14,late Quaternary (<130 ka),Unspecified
laguna meadow fault,A,519,san diego,5,undifferentiated Quaternary (<1.6 Ma),Unspecified
lake city fault zone,A,176,modoc,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
la panza fault zone,A,78,san luis obispo,89,undifferentiated Quaternary (<1.6 Ma),Unspecified
laureles fault,A,482,monterey,10,late Quaternary (<130 ka),Unspecified
lavic lake fault,A,351,san bernardino,40,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
