City,Population
Walnut Grove,"1,300"
Tahoe Vista,"1,288"
Shell Ridge,"1,281"
Janesville and Dunnigan,"1,278"
Avila Beach,"1,273"
Gerber,"1,259"
Santa Margarita,"1,252"
Sheridan,"1,250"
Blue Lake,"1,245"
Berry Creek,"1,241"
Mountain Mesa,"1,236"
Del Rio,"1,235"
Grayson,"1,224"
Sunnyside-Tahoe City and Airport,"1,222"
Saticoy,"1,201"
Redway,"1,199"
Maricopa,"1,192"
Johnstonville,"1,185"
Laytonville,"1,175"
Newcastle,"1,167"
Covelo,"1,165"
Sea Ranch,"1,161"
Squirrel Mountain Valley,"1,159"
Monte Rio,"1,156"
Palo Cedro and Elkhorn,"1,151"
March ARB,"1,150"
Big River and Castle Hill,"1,145"
Pala,"1,143"
Shandon,"1,141"
Matheny,"1,134"
Mi-Wuk Village,"1,133"
Inverness,"1,127"
Garberville,"1,126"
Yosemite Valley,"1,110"
Greenville,"1,108"
Maxwell,"1,096"
Grizzly Flats,"1,087"
Hasley Canyon,"1,085"
Westhaven-Moonstone,"1,084"
Clay,"1,083"
Parklawn,"1,082"
Spring Valley,"1,081"
Bolinas,"1,077"
Plymouth,"1,076"
Alpaugh and Minkler,"1,074"
McCloud,"1,072"
Bradbury,"1,070"
Boronda,"1,066"
Wallace,"1,063"
Herald,"1,058"
Upper Lake and Santa Susana,"1,050"
Lake Riverside,"1,049"
Beale AFB,"1,039"
Thornton,"1,038"
Cedar Ridge,"1,037"
West Park,"1,035"
Sultana and Lake Don Pedro,"1,030"
Camanche North Shore,"1,029"
Teviston,"1,027"
Pasatiempo,"1,018"
Kernville,"1,007"
Chalfant,999
Mount Hermon,998
Cohasset,990
Norris Canyon,987
East Tulare Villa,980
Tulelake and Hydesville,978
Whitewater,976
Green Valley,973
Sunol,962
East Orosi,955
Taft Mosswood,951
North Edwards,944
Tuttletown and Soda Bay,941
Zayante,939
Silverado Resort,937
Butte Creek Canyon,931
Julian,930
Geyserville,928
Penryn,925
Summerland,923
"Hopland, Talmage, and Fieldbrook",921
Cobb,920
Deer Park,906
Fruitdale,899
Dorris,897
Rolling Hills,896
Blacklake,892
Acalanes Ridge and Crowley Lake,889
Lompico,887
Tonyville,881
Stratford,878
Springville,872
Knights Landing,869
Tahoma,867
Challenge-Brownsville,864
Plainview and Walker,863
Boonville,852
Isleton,844
Diablo Grande and Fuller Acres,841
Tranquillity,839
Westley,838
Aguanga,835
Manila,834
Occidental,833
Los Olivos,831
Fort Dick,830
Rough and Ready,828
Caspar,812
Happy Camp,810
McClellan Park,809
Cleone,804
Kenwood,800
Catheys Valley and Mountain Gate,794
Dollar Point,786
Fort Washington,783
Mendocino,782
Lake of the Woods and Bootjack,768
Alto,765
New Cuyama,763
Middletown,757
Concow,743
Traver and Inyokern,740
Alhambra Valley,739
Bodega Bay,733
Glen Ellen,727
Lytle Creek,724
Waterloo,719
Etna,718
La Honda,711
Indio Hills,708
Loyalton,702
Fort Jones,692
Seville,691
Junction City,688
Greeley Hill,687
Linnell Camp and Indianola,686
Millville,682
Clyde and Loleta,676
Cold Springs,675
Coloma,673
Miranda,672
Douglas City,668
Smith Corner,664
Tres Pinos and Dobbins,662
Delft Colony,653
Ducor,651
Mokelumne Hill,637
Smith River,632
Potrero,625
Doyle,622
Gasquet and Camanche Village,620
Desert Shores,619
"Valley Acres, Lakehead, and Klamath",617
Hamilton Branch,612
Baker and River Pines,607
"Peters, Lockwood, and Patton Village",604
Scotia,602
Graeagle,596
Dustin Acres,590
Onyx,588
Lake Hughes,587
Grangeville,586
Mesa Verde,584
San Simeon,583
West Point,571
Cowan,570
West Goshen,567
Fulton and Hickman,566
Madison,563
Calpella,562
Avery and North Gate,559
Stinson Beach,556
San Ardo,554
Friant,548
Paradise Park,543
Independence,542
Los Berros,541
Forest Ranch,538
Courtland,537
Round Valley,533
Allensworth,527
Buena Vista,526
Niland and Coleville,515
Delleker and Edmundson Acres,514
Butte Valley,510
June Lake,508
Shelter Cove,501
Bass Lake,500
Shaver Lake,498
Canby,497
California Pines,488
Alta,485
Grenada,477
